driver_actions-safe_drive/1 9 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/16 24 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/15 37 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/8 14 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/10 106 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hand_on_gear-hand_on_gear/6 24 7 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/12 38 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/14 29 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_side/3 56 14 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/15 26 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-change_gear/7 18 16 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/13 64 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-change_gear/6 14 16 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_side/5 61 14 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-both/6 15 3 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/13 24 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_side/4 60 14 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/16 22 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/17 26 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-drinking/1 92 13 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-unclassified/2 47 17 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_side/6 57 14 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-texting_right/3 260 9 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hand_on_gear-hand_on_gear/5 96 7 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-both/7 52 3 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-only_left/6 124 5 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/11 85 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/18 32 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/18 171 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/17 273 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-only_left/7 297 5 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/19 14 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-both/8 12 3 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-only_left/8 22 5 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-only_left/9 44 5 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/12 129 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-both/9 80 3 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hand_on_gear-hand_on_gear/7 20 7 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-change_gear/9 28 16 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-change_gear/8 34 16 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/21 15 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-texting_right/4 22 9 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/14 91 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-both/10 112 3 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-change_gear/10 15 16 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/9 21 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/20 28 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/13 186 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/21 28 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_side/7 68 14 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hand_on_gear-hand_on_gear/8 206 7 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/20 491 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/22 19 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/23 12 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/14 6 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/10 53 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/11 41 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/12 15 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/13 22 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-texting_right/5 42 9 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/22 1012 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-phonecall_right/2 1001 10 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-only_left/10 1415 5 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/24 13 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/24 16 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_side/8 64 14 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-change_gear/11 12 16 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-both/11 86 3 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/16 13 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_side/9 55 14 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/25 18 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/26 15 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hand_on_gear-hand_on_gear/9 128 7 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/26 46 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/31 15 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/27 14 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/15 208 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hand_on_gear-hand_on_gear/10 22 7 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/28 18 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/30 63 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/30 8 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/27 74 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/29 25 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/29 25 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/25 270 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/28 46 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/31 17 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_side/10 40 14 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-change_gear/12 28 16 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-only_left/12 50 5 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-both/12 141 3 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-texting_right/6 326 9 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/32 297 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/17 255 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-only_left/11 601 5 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/32 23 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-unclassified/3 20 17 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_backseat/3 69 31 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/33 30 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/34 14 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-hair_and_makeup/2 70 15 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/36 21 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_backseat/4 48 31 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/18 43 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/33 44 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/36 31 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/34 18 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-change_gear/13 54 16 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/35 12 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-unclassified/4 18 17 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/19 134 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/35 15 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-both/14 35 3 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-only_left/13 244 5 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-only_left/14 61 5 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hand_on_gear-hand_on_gear/11 30 7 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hand_on_gear-hand_on_gear/12 45 7 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-change_gear/14 18 16 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/37 18 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-both/16 151 3 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/20 179 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-only_left/15 70 5 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-both/15 96 3 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_side/11 44 14 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-only_left/16 341 5 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/37 444 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/38 275 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_side/12 61 14 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/38 26 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/41 11 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/40 10 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/39 16 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-unclassified/6 17 17 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-drinking/2 185 13 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-reach_side/13 82 14 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/16 10 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/15 9 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/41 17 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-texting_right/7 35 9 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/40 104 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
driver_actions-safe_drive/21 245 8 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/39 241 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
hands_using_wheel-both/17 231 3 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/17 130 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/20 17 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/19 58 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-not_looking_road/42 10 1 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/23 7 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
talking-talking/21 7 2 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
gaze_on_road-looking_road/43 20 0 {'age': 36, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Between 2 or 5 times a week'}
